"Commodity-wise, Market-wise Daily Report on : 01/01/2019 NR : Not Reported",,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Savner,350,Tonnes,NR,Other,5425,5450,5450,Rs/Quintal
Sillod,482,Tonnes,NR,Other,5300,5500,5400,Rs/Quintal
Sindi,22,Tonnes,NR,Other,5500,5625,5580,Rs/Quintal
Sindi(Selu),156,Tonnes,NR,Other,5550,5710,5650,Rs/Quintal
Sonpeth,28,Tonnes,NR,Other,4900,5520,5450,Rs/Quintal
Umared,65,Tonnes,NR,Desi,5100,5455,5400,Rs/Quintal
Umarkhed,18,Tonnes,NR,H-4(A) 27mm FIne,5200,5350,5300,Rs/Quintal
Varora,289,Tonnes,NR,Desi,5350,5550,5450,Rs/Quintal
Wardha,40,Tonnes,NR,Other,5300,5550,5400,Rs/Quintal
Yawal,97,Tonnes,NR,Other,5000,5520,5210,Rs/Quintal
ZariZamini,40,Tonnes,NR,Other,5000,5470,5449,Rs/Quintal
Punjab,,,,,,,,
Abohar,1054,Tonnes,NR,Cotton (Unginned),5325,5550,5490,Rs/Quintal
,,,NR,Narma BT Cotton,5690,5865,5720,Rs/Quintal
Bareta,13,Tonnes,NR,American,5030,5470,5320,Rs/Quintal
Barnala,3.2,Tonnes,NR,Other,4750,5415,5083,Rs/Quintal
Bathinda,80.32,Tonnes,NR,Other,4605,5490,5390,Rs/Quintal
Bhikhi,10,Tonnes,NR,Other,5280,5490,5390,Rs/Quintal
Budalada,20,Tonnes,NR,Other,5380,5541,5530,Rs/Quintal
Giddarbaha,79.8,Tonnes,NR,Other,5195,5585,5485,Rs/Quintal
Goniana,15,Tonnes,NR,Other,5200,5480,5480,Rs/Quintal
Jaitu,11,Tonnes,NR,Other,5195,5495,5450,Rs/Quintal
Kotkapura,20,Tonnes,NR,American,5200,5420,5300,Rs/Quintal
Malout,69,Tonnes,NR,Other,5455,5580,5555,Rs/Quintal
Mansa,200,Tonnes,NR,American,5290,5485,5400,Rs/Quintal
Maur,50,Tonnes,NR,Other,4900,5415,5400,Rs/Quintal
Raman,90,Tonnes,NR,American,5250,5580,5470,Rs/Quintal
Rampura Phul,5.4,Tonnes,NR,Other,5150,5325,5150,Rs/Quintal
Sangat,25,Tonnes,NR,American,5210,5640,5330,Rs/Quintal
Tapa(Tapa Mandi),13.5,Tonnes,NR,Other,4300,5440,5310,Rs/Quintal
Rajasthan,,,,,,,,
Alwar,70.2,Tonnes,NR,Other,5350,5645,5500,Rs/Quintal
Anoopgarh,142.1,Tonnes,NR,American,5277,5500,5389,Rs/Quintal
,,,NR,Other,5401,5655,5528,Rs/Quintal
Bijay Nagar,48,Tonnes,NR,American,4100,5731,5500,Rs/Quintal
Bilara,6,Tonnes,NR,Other,5650,5780,5715,Rs/Quintal
Gajsinghpur,42.4,Tonnes,NR,American,4900,5444,5391,Rs/Quintal
,,,NR,Desi,5651,5665,5665,Rs/Quintal
Gharsana,46.7,Tonnes,NR,American,5100,5350,5320,Rs/Quintal
,,,NR,Desi,5512,5541,5525,Rs/Quintal
Goluwala,229.5,Tonnes,NR,American,4800,5557,5500,Rs/Quintal
,,,NR,Desi,5801,5951,5951,Rs/Quintal
Jaitsar,124.9,Tonnes,NR,American,5180,5500,5470,Rs/Quintal
,,,NR,Desi,5271,5600,5570,Rs/Quintal
Jodhpur(Grain)(Phalodi),9.7,Tonnes,NR,J-34,5700,5800,5750,Rs/Quintal
Kekri,47,Tonnes,NR,Other,4870,5685,5160,Rs/Quintal
Kesarisinghpur,390,Tonnes,NR,Other,5125,5450,5400,Rs/Quintal
Khairthal,364,Tonnes,NR,Other,5600,5700,5650,Rs/Quintal
Lunkaransar,2,Tonnes,NR,Other,5060,5170,5115,Rs/Quintal
Nohar,0.9,Tonnes,NR,Desi,5882,5882,5882,Rs/Quintal
Padampur,88.9,Tonnes,NR,American,5100,5475,5452,Rs/Quintal
Pilli Banga,222.6,Tonnes,NR,American,5100,5558,5350,Rs/Quintal
,,,NR,Desi,6050,6070,6060,Rs/Quintal
Raisingh Nagar,25.2,Tonnes,NR,American,5050,5469,5351,Rs/Quintal
,,,NR,Desi,5150,5150,5150,Rs/Quintal
Rawatsar,120.5,Tonnes,NR,American,5100,5500,5490,Rs/Quintal
Rawla,20.4,Tonnes,NR,American,5151,5381,5266,Rs/Quintal
Sadulshahar,124.4,Tonnes,NR,American,4700,5536,5525,Rs/Quintal
,,,NR,Desi,5700,5751,5701,Rs/Quintal
Sangriya,193.7,Tonnes,NR,Other,4815,5582,5540,Rs/Quintal
Sri Karanpur,52.6,Tonnes,NR,American,5306,5450,5400,Rs/Quintal
