"Commodity-wise, Market-wise Daily Report on : 01/01/2019 NR : Not Reported",,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Little gourd (Kundru),,,,,,,,
Chattisgarh,,,,,,,,
Durg,15,Tonnes,NR,Other,1200,1400,1300,Rs/Quintal
Gujarat,,,,,,,,
Dahod(Veg. Market),0.61,Tonnes,NR,Other,1000,1800,1500,Rs/Quintal
Surat,7.5,Tonnes,NR,Other,1500,3500,2500,Rs/Quintal
Vyra,0.32,Tonnes,NR,Other,750,3000,1875,Rs/Quintal
Kerala,,,,,,,,
Aluva,1,Tonnes,NR,Other,2000,3000,2500,Rs/Quintal
Angamaly,0.3,Tonnes,NR,Other,2200,2600,2400,Rs/Quintal
Athirampuzha,0.3,Tonnes,NR,Other,1600,1800,1700,Rs/Quintal
Chala,3,Tonnes,NR,Little gourd (Kundru),3700,3756,3728,Rs/Quintal
Chathanoor,0.4,Tonnes,NR,Other,3800,4200,4000,Rs/Quintal
Ettumanoor,2.1,Tonnes,NR,Other,1800,1900,1800,Rs/Quintal
Kanjangadu,0.45,Tonnes,NR,Other,2800,3200,3000,Rs/Quintal
Koduvayoor,0.7,Tonnes,NR,Other,1400,1800,1600,Rs/Quintal
Kollam,0.2,Tonnes,NR,Other,3600,4000,3800,Rs/Quintal
Kothamangalam,1,Tonnes,NR,Other,3000,3500,3200,Rs/Quintal
Kuruppanthura,1.5,Tonnes,NR,Other,2400,3200,2800,Rs/Quintal
Manjeri,4,Tonnes,NR,Other,2000,2100,2050,Rs/Quintal
Manjeswaram,4,Tonnes,NR,Other,4500,5500,5000,Rs/Quintal
Pala,1,Tonnes,NR,Other,2000,3000,2500,Rs/Quintal
Palakkad,1,Tonnes,NR,Other,2000,2500,2300,Rs/Quintal
Pampady,1,Tonnes,NR,Other,3000,3400,3200,Rs/Quintal
Pattambi,0.2,Tonnes,NR,Other,2000,3000,2800,Rs/Quintal
Perumbavoor,2,Tonnes,NR,Other,1500,2300,2000,Rs/Quintal
Thalayolaparambu,0.6,Tonnes,NR,Other,1500,1900,1700,Rs/Quintal
Thodupuzha,1,Tonnes,NR,Other,1200,1400,1400,Rs/Quintal
Thrippunithura,0.5,Tonnes,NR,Other,2500,3400,2900,Rs/Quintal
Vadakkenchery,0.2,Tonnes,NR,Other,2800,3400,3100,Rs/Quintal
Maharashtra,,,,,,,,
Chandrapur(Ganjwad),NR,Tonnes,NR,Other,1000,1000,1000,Rs/Quintal
Kalyan,NR,Tonnes,NR,Other,1500,2000,1750,Rs/Quintal
Kamthi,1,Tonnes,NR,Other,1500,2000,1900,Rs/Quintal
Mumbai,7,Tonnes,NR,Other,1500,3200,2300,Rs/Quintal
Pune,1,Tonnes,NR,Other,1400,3500,2000,Rs/Quintal
Odisha,,,,,,,,
Dhenkanal,0.05,Tonnes,NR,Other,2000,2500,2500,Rs/Quintal
Mottagaon,0.03,Tonnes,NR,Other,2000,2500,2000,Rs/Quintal
Long Melon(Kakri),,,,,,,,
Kerala,,,,,,,,
Kuruppanthura,5,Tonnes,NR,Other,1400,2200,1800,Rs/Quintal
Manjeswaram,5,Tonnes,NR,Other,1400,2600,2000,Rs/Quintal
Lotus Sticks,,,,,,,,
Jammu and Kashmir,,,,,,,,
Narwal Jammu (F&V),9,Tonnes,NR,Other,5000,6000,5500,Rs/Quintal
Mango (Raw-Ripe),,,,,,,,
Gujarat,,,,,,,,
Surat,1.5,Tonnes,NR,Other,10000,11000,10500,Rs/Quintal
Kerala,,,,,,,,
Aluva,2,Tonnes,NR,Mango - Raw-Ripe,5000,6000,5500,Rs/Quintal
Angamaly,0.2,Tonnes,NR,Mango - Raw-Ripe,5000,6000,5500,Rs/Quintal
Athirampuzha,0.3,Tonnes,NR,Mango - Raw-Ripe,2300,2500,2400,Rs/Quintal
Chala,3,Tonnes,NR,Other,9700,9750,9725,Rs/Quintal
Chalakudy,2,Tonnes,NR,Other,3200,4000,3500,Rs/Quintal
