Commodity-wise- Market-wise Daily-Report-on -01-01-2019,,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Samsabad,1,Tonnes,NR,Pathari,2100,2300,2200,Rs/Quintal
Sehjanwa,1.5,Tonnes,NR,Red,3480,3520,3500,Rs/Quintal
Shahabad(New Mandi),4.6,Tonnes,NR,Yellow,2200,2300,2250,Rs/Quintal
Shahganj,4,Tonnes,NR,Yellow,3580,3650,3610,Rs/Quintal
Shahpur,44.5,Tonnes,NR,Yellow,NR,NR,2270,Rs/Quintal
Shamli,180,Tonnes,NR,Yellow,2350,2800,2480,Rs/Quintal
Shikohabad,5,Tonnes,NR,Red,NR,NR,2550,Rs/Quintal
Sindholi,2,Tonnes,NR,Other,2400,2600,2500,Rs/Quintal
Sitapur,575,Tonnes,NR,Pathari,2600,2800,2700,Rs/Quintal
Soharatgarh,1.7,Tonnes,NR,Red,3100,3130,3115,Rs/Quintal
Sultanpur,3.8,Tonnes,NR,Khandsari,3350,3400,3380,Rs/Quintal
Tamkuhi Road,11,Tonnes,NR,Red,3100,3250,3200,Rs/Quintal
Tikonia,280,Tonnes,NR,Khandsari,3185,3250,3200,Rs/Quintal
,,,NR,Other,710,780,760,Rs/Quintal
,,,NR,Pathari,2325,2365,2345,Rs/Quintal
Tundla,1.6,Tonnes,NR,Red,2700,2750,2710,Rs/Quintal
Ujhani,1.5,Tonnes,NR,Red,2620,2720,2670,Rs/Quintal
Unnao,0.5,Tonnes,NR,Pathari,2825,2950,2875,Rs/Quintal
Varanasi(Grain),40,Tonnes,NR,Red,3375,3425,3400,Rs/Quintal
Varipaal,0.1,Tonnes,NR,Other,1950,2200,2000,Rs/Quintal
Vishalpur,5,Tonnes,NR,Red,2600,2725,2650,Rs/Quintal
Viswan,14,Tonnes,NR,Other,2400,2500,2450,Rs/Quintal
Uttrakhand,,,,,,,,
Manglaur,322,Tonnes,NR,Other,2400,2500,2450,Rs/Quintal
Roorkee,6.5,Tonnes,NR,Other,2300,2500,2400,Rs/Quintal
West Bengal,,,,,,,,
Burdwan,28,Tonnes,NR,Other,3050,3150,3100,Rs/Quintal
Ghatal,9,Tonnes,NR,Other,3050,3150,3100,Rs/Quintal
Purulia,1.5,Tonnes,NR,Other,2660,2740,2660,Rs/Quintal
Mahedi,,,,,,,,
Rajasthan,,,,,,,,
Ramaganj Mandi,32,Tonnes,NR,Other,7300,8425,7941,Rs/Quintal
Maida Atta,,,,,,,,
Assam,,,,,,,,
Goalpara,29,Tonnes,NR,Maida Atta,2200,2400,2300,Rs/Quintal
Nalbari,3,Tonnes,NR,Maida Atta,2700,3000,2850,Rs/Quintal
P.O. Uparhali Guwahati,13,Tonnes,NR,Maida Atta,2560,2800,2680,Rs/Quintal
Millets,,,,,,,,
Madhya Pradesh,,,,,,,,
Beohari,20.1,Tonnes,NR,Other,1780,1780,1780,Rs/Quintal
Bichhiya,25,Tonnes,NR,Millets,2400,2400,2400,Rs/Quintal
Dindori,106.5,Tonnes,NR,Millets,1800,2000,1900,Rs/Quintal
Mohgaon,30,Tonnes,NR,Other,1400,1400,1400,Rs/Quintal
Rajgir,,,,,,,,
Gujarat,,,,,,,,
Palanpur,0.4,Tonnes,NR,Other,5500,5605,5552,Rs/Quintal
Maharashtra,,,,,,,,
Pune,80,Tonnes,NR,Other,3,5,4,Rs/Quintal
Pune(Hadapsar),110,Tonnes,NR,Other,2,4,3,Rs/Quintal
Solapur,17,Tonnes,NR,Other,300,300,300,Rs/Quintal
Rubber,,,,,,,,
Kerala,,,,,,,,
Irikkur,0.1,Tonnes,NR,Other,11000,11000,11000,Rs/Quintal
Kattappana,0.1,Tonnes,NR,RSS-4,11400,11400,11400,Rs/Quintal
Kuttoor,1,Tonnes,NR,RSS-4,11200,11500,11300,Rs/Quintal
