"Commodity-wise, Market-wise Daily Report on : 01/01/2019 NR : Not Reported",,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Nimbahera,30,Tonnes,NR,Other,3000,4060,3800,Rs/Quintal
Niwai,18.8,Tonnes,NR,Other,4100,4250,4175,Rs/Quintal
Nohar,16.2,Tonnes,NR,Other,3695,3695,3695,Rs/Quintal
Nokha,56.3,Tonnes,NR,Other,3100,4012,3556,Rs/Quintal
Rawatsar,14.6,Tonnes,NR,Other,2900,3912,3711,Rs/Quintal
Sanchor,58,Tonnes,NR,Balli/Habbu,4890,4890,4890,Rs/Quintal
Sardar Shahar,59.9,Tonnes,NR,Other,3400,4150,3900,Rs/Quintal
Sri Vijayanagar,0.4,Tonnes,NR,Other,3151,3151,3151,Rs/Quintal
Sridungargarh,4.5,Tonnes,NR,Other,3600,3700,3650,Rs/Quintal
Tamil Nadu,,,,,,,,
Kodumudi,1.5,Tonnes,NR,Other,4160,5126,4900,Rs/Quintal
Krishnagiri,NR,Tonnes,NR,Other,3600,4900,4900,Rs/Quintal
Pennagaram,NR,Tonnes,NR,Other,4900,5200,5000,Rs/Quintal
Uttar Pradesh,,,,,,,,
Allahabad,2.5,Tonnes,NR,Groundnut seed,5000,5200,5100,Rs/Quintal
Bijnaur,1.8,Tonnes,NR,Groundnut seed,4840,4970,4900,Rs/Quintal
Lalitpur,2,Tonnes,NR,Bold,4100,4475,4320,Rs/Quintal
Madhoganj,16,Tonnes,NR,Local,4300,4400,4350,Rs/Quintal
Mauranipur,96,Tonnes,NR,Local,4650,4850,4750,Rs/Quintal
Nanuta,2,Tonnes,NR,Hybrid,4900,5200,5100,Rs/Quintal
Rampur,25,Tonnes,NR,Local,5060,5150,5100,Rs/Quintal
Samsabad,3,Tonnes,NR,Local,4800,4900,4850,Rs/Quintal
Uttrakhand,,,,,,,,
Lakshar,6.5,Tonnes,NR,Other,4890,5200,4900,Rs/Quintal
West Bengal,,,,,,,,
